timestamp,usage_MB,limit_MB
1756329169.505794,491.90234375,15659.9453125
1756329173.5271418,492.08984375,15659.9453125
1756329177.5441535,492.3125,15659.9453125
1756329181.5546834,492.52734375,15659.9453125
1756329185.5698805,492.890625,15659.9453125
1756329189.582276,492.8984375,15659.9453125
1756329193.5909286,492.97265625,15659.9453125
1756329197.6043289,492.55078125,15659.9453125
1756329201.627357,398.015625,15659.9453125
1756329205.6388073,397.90625,15659.9453125
1756329209.6520872,398.2109375,15659.9453125
1756329213.6675615,398.32421875,15659.9453125
1756329217.6831384,398.5546875,15659.9453125
1756329221.695547,398.75390625,15659.9453125
1756329225.710284,398.89453125,15659.9453125
1756329229.7219346,399.21484375,15659.9453125
1756329233.7351074,399.3359375,15659.9453125
1756329237.767093,399.56640625,15659.9453125
1756329241.7808323,399.77734375,15659.9453125
1756329245.793796,399.8828125,15659.9453125
1756329249.8076828,400.20703125,15659.9453125
1756329253.8206294,400.3125,15659.9453125
1756329257.8357623,400.51953125,15659.9453125
1756329261.847925,400.74609375,15659.9453125
1756329265.859965,400.84765625,15659.9453125
1756329269.8735268,401.13671875,15659.9453125
1756329273.889554,401.2578125,15659.9453125
1756329277.9069853,401.47265625,15659.9453125
1756329281.923965,401.66796875,15659.9453125
1756329285.9378276,401.76171875,15659.9453125
1756329289.960487,402.09375,15659.9453125
1756329293.9720445,402.1953125,15659.9453125
1756329297.9921467,402.453125,15659.9453125
1756329302.0062468,406.83984375,15659.9453125
1756329306.0201488,400.76953125,15659.9453125
1756329310.0347571,401.04296875,15659.9453125
1756329314.0492942,401.16796875,15659.9453125
1756329318.0693932,401.35546875,15659.9453125
1756329322.0825186,401.54296875,15659.9453125
1756329326.0927422,401.66796875,15659.9453125
1756329330.1037877,401.9296875,15659.9453125
1756329334.1147883,403.4296875,15659.9453125
1756329338.1257267,403.67578125,15659.9453125
1756329342.1362076,403.86328125,15659.9453125
1756329346.1480486,404.01953125,15659.9453125
1756329350.1590247,404.3203125,15659.9453125
1756329354.1700783,404.4296875,15659.9453125
1756329358.1801627,404.65625,15659.9453125
1756329362.1899605,404.83203125,15659.9453125
1756329366.2010338,404.953125,15659.9453125
1756329370.210794,405.20703125,15659.9453125
1756329374.2215896,405.30078125,15659.9453125
1756329378.234704,405.48046875,15659.9453125
1756329382.2448697,405.66796875,15659.9453125
1756329386.2547107,405.7578125,15659.9453125
1756329390.2648308,406.046875,15659.9453125
1756329394.2761476,406.14453125,15659.9453125
1756329398.2890608,406.33203125,15659.9453125
1756329402.2992904,406.5234375,15659.9453125
1756329406.310223,406.7109375,15659.9453125
1756329410.3236399,406.87109375,15659.9453125
1756329414.3346338,406.98828125,15659.9453125
1756329418.3526032,407.2578125,15659.9453125
1756329422.3653204,407.4921875,15659.9453125
1756329426.3787591,407.6796875,15659.9453125
1756329430.3955667,409.453125,15659.9453125
1756329434.4060907,409.56640625,15659.9453125
1756329438.4194357,409.7578125,15659.9453125
1756329442.4307594,409.9453125,15659.9453125
1756329446.4457405,410.09765625,15659.9453125
1756329450.4600983,410.26171875,15659.9453125
1756329454.4705908,410.359375,15659.9453125
1756329458.482333,410.51953125,15659.9453125
1756329462.4947584,410.96875,15659.9453125
1756329466.50759,411.171875,15659.9453125
1756329470.5201461,411.3359375,15659.9453125
1756329474.5337465,411.4453125,15659.9453125
1756329478.5478034,411.6484375,15659.9453125
1756329482.5632732,411.96875,15659.9453125
1756329486.575727,412.1640625,15659.9453125
1756329490.5929215,412.359375,15659.9453125
1756329494.6050565,412.46484375,15659.9453125
1756329498.6184428,412.609375,15659.9453125
1756329502.6324654,412.796875,15659.9453125
1756329506.6468806,412.97265625,15659.9453125
1756329510.659945,413.3515625,15659.9453125
1756329514.673289,413.4609375,15659.9453125
1756329518.686122,413.6484375,15659.9453125
1756329522.6994116,413.77734375,15659.9453125
1756329526.7127264,413.98828125,15659.9453125
1756329530.726323,416.46875,15659.9453125
1756329534.7399886,416.5703125,15659.9453125
1756329538.7518554,432.5703125,15659.9453125
1756329542.7654371,432.73828125,15659.9453125
1756329546.7815018,432.94140625,15659.9453125
1756329550.7940948,433.1640625,15659.9453125
1756329554.8067842,424.984375,15659.9453125
1756329558.8198302,425.1640625,15659.9453125
1756329562.833551,425.328125,15659.9453125
1756329566.8459613,425.50390625,15659.9453125
1756329570.8821476,425.70703125,15659.9453125
1756329574.894707,425.79296875,15659.9453125
1756329578.9069722,425.98046875,15659.9453125
1756329582.918626,426.1875,15659.9453125
1756329586.9358335,426.37109375,15659.9453125
1756329590.9485269,427.94140625,15659.9453125
1756329594.9612281,428.10546875,15659.9453125
1756329598.976112,428.31640625,15659.9453125
1756329602.9975934,428.4921875,15659.9453125
1756329607.0133939,428.7109375,15659.9453125
1756329611.0250084,428.8984375,15659.9453125
1756329615.0378768,428.99609375,15659.9453125
1756329619.0539517,429.2109375,15659.9453125
1756329623.0674376,448.8203125,15659.9453125
1756329627.0829647,449.19921875,15659.9453125
1756329631.0955102,449.37109375,15659.9453125
1756329635.1089392,449.46875,15659.9453125
1756329639.11919,449.65625,15659.9453125
1756329643.142422,449.859375,15659.9453125
1756329647.1534188,450.0703125,15659.9453125
1756329651.165562,450.25390625,15659.9453125
1756329655.1805923,450.359375,15659.9453125
1756329659.192692,450.56640625,15659.9453125
1756329663.204145,450.7421875,15659.9453125
1756329667.2174566,450.94140625,15659.9453125
1756329671.2325008,451.10546875,15659.9453125
1756329675.2423882,440.1171875,15659.9453125
1756329679.2533002,440.28125,15659.9453125
1756329683.265286,440.4765625,15659.9453125
1756329687.2767472,440.66796875,15659.9453125
1756329691.2884521,440.83203125,15659.9453125
1756329695.3005054,441.0703125,15659.9453125
1756329699.3140607,441.38671875,15659.9453125
1756329703.3269691,441.57421875,15659.9453125
1756329707.344502,441.78125,15659.9453125
1756329711.3577511,441.96484375,15659.9453125
1756329715.3700323,442.0546875,15659.9453125
1756329719.3834314,442.2734375,15659.9453125
1756329723.39648,442.4609375,15659.9453125
1756329727.4181392,442.62109375,15659.9453125
1756329731.4316342,442.80859375,15659.9453125
1756329735.4505553,442.9140625,15659.9453125
1756329739.4687452,443.109375,15659.9453125
1756329743.48633,443.2890625,15659.9453125
1756329747.4992945,443.49609375,15659.9453125
1756329751.5144694,443.6796875,15659.9453125
1756329755.529717,443.76953125,15659.9453125
1756329759.5447698,444.05078125,15659.9453125
1756329763.5589814,444.171875,15659.9453125
1756329767.5709124,444.36328125,15659.9453125
1756329771.5832803,444.55859375,15659.9453125
1756329775.5962994,444.66796875,15659.9453125
1756329779.6095612,444.9375,15659.9453125
1756329783.6227777,445.05078125,15659.9453125
1756329787.6357994,445.23828125,15659.9453125
1756329791.651644,445.484375,15659.9453125
1756329795.6634247,445.5859375,15659.9453125
1756329799.6767888,445.88671875,15659.9453125
1756329803.6900663,445.9765625,15659.9453125
1756329807.7006078,446.18359375,15659.9453125
1756329811.7145634,446.37890625,15659.9453125
1756329815.7290924,446.5078125,15659.9453125
1756329819.7424185,432.0546875,15659.9453125
1756329823.7565668,432.1640625,15659.9453125
1756329827.7707057,432.3359375,15659.9453125
1756329831.7843306,432.54296875,15659.9453125
1756329835.797237,432.63671875,15659.9453125
1756329839.8127277,435.23828125,15659.9453125
1756329843.8300607,433.921875,15659.9453125
1756329847.8419998,434.13671875,15659.9453125
1756329851.8534296,434.3203125,15659.9453125
1756329855.8678334,434.4296875,15659.9453125
1756329859.8811884,434.6953125,15659.9453125
1756329863.8950965,434.7890625,15659.9453125
1756329867.9103131,434.9375,15659.9453125
1756329871.9215672,435.10546875,15659.9453125
1756329875.936228,435.1953125,15659.9453125
1756329879.950839,435.44140625,15659.9453125
1756329883.9649184,435.5234375,15659.9453125
1756329887.9795704,435.6328125,15659.9453125
1756329891.9932334,435.8125,15659.9453125
1756329896.0072062,435.91796875,15659.9453125
1756329900.0198514,436.11328125,15659.9453125
1756329904.033812,436.21875,15659.9453125
1756329908.0474677,436.3828125,15659.9453125
1756329912.0626273,436.5703125,15659.9453125
1756329916.0745304,436.65625,15659.9453125
1756329920.0886064,437.14453125,15659.9453125
1756329924.1018121,436.984375,15659.9453125
1756329928.1142516,437.11328125,15659.9453125
1756329932.127572,437.25390625,15659.9453125
1756329936.1400769,437.37109375,15659.9453125
1756329940.1545258,437.515625,15659.9453125
1756329944.1694343,437.6953125,15659.9453125
1756329948.1803975,440.62890625,15659.9453125
1756329952.1950734,441.046875,15659.9453125
1756329956.2064905,441.01171875,15659.9453125
1756329960.220344,441.51171875,15659.9453125
1756329964.2307396,441.375,15659.9453125
1756329968.2430134,441.54296875,15659.9453125
1756329972.2564576,441.7265625,15659.9453125
1756329976.268307,441.84765625,15659.9453125
1756329980.2805262,442.10546875,15659.9453125
1756329984.2945616,442.2109375,15659.9453125
1756329988.3075826,442.40625,15659.9453125
1756329992.3184817,442.58984375,15659.9453125
1756329996.3302553,442.78515625,15659.9453125
1756330000.3415685,442.96875,15659.9453125
1756330004.352483,443.05859375,15659.9453125
1756330008.3642204,443.25,15659.9453125
1756330012.3759665,443.4609375,15659.9453125
1756330016.3878012,443.66015625,15659.9453125
1756330020.3991714,443.83984375,15659.9453125
1756330024.4136217,443.66015625,15659.9453125
1756330028.4306486,443.86328125,15659.9453125
1756330032.4454699,444.046875,15659.9453125
1756330036.4571888,444.21875,15659.9453125
1756330040.466364,444.41015625,15659.9453125
1756330044.4770856,444.5078125,15659.9453125
1756330048.4874384,444.71875,15659.9453125
1756330052.4987094,444.90234375,15659.9453125
1756330056.5103931,445.08203125,15659.9453125
1756330060.5261085,443.984375,15659.9453125
1756330064.5374668,444.1171875,15659.9453125
1756330068.5498838,444.33203125,15659.9453125
1756330072.5619164,444.55078125,15659.9453125
1756330076.5738895,444.7578125,15659.9453125
1756330080.5850675,444.953125,15659.9453125
1756330084.5970666,445.01953125,15659.9453125
1756330088.6112018,445.19921875,15659.9453125
1756330092.6234286,445.375,15659.9453125
1756330096.6373312,445.5703125,15659.9453125
1756330100.650217,445.73828125,15659.9453125
1756330104.661732,446.02734375,15659.9453125
1756330108.6746733,445.88671875,15659.9453125
1756330112.6906004,441.96875,15659.9453125
1756330116.716345,373.0625,15659.9453125
1756330120.7337265,364.3828125,15659.9453125
1756330124.748411,364.53125,15659.9453125
1756330128.7601585,328.68359375,15659.9453125
1756330132.7997305,323.96484375,15659.9453125
1756330136.8203664,263.2421875,15659.9453125
1756330140.8384774,263.5234375,15659.9453125
1756330144.8664181,263.6484375,15659.9453125
1756330148.8833318,263.91796875,15659.9453125
