timestamp,usage_MB,limit_MB
1756559889.1632538,854.73828125,15659.94140625
1756559893.1800518,854.73828125,15659.94140625
1756559897.1872547,854.73828125,15659.94140625
1756559901.2011054,854.73828125,15659.94140625
1756559905.21637,854.7421875,15659.94140625
1756559909.222612,854.7421875,15659.94140625
1756559913.2340639,854.7421875,15659.94140625
1756559917.2491243,841.484375,15659.94140625
1756559921.256454,841.484375,15659.94140625
1756559925.2646105,838.90625,15659.94140625
1756559929.2873306,825.90625,15659.94140625
1756559933.2948427,825.90625,15659.94140625
1756559937.3030488,825.90625,15659.94140625
1756559941.3135087,825.90625,15659.94140625
1756559945.323388,813.15625,15659.94140625
1756559949.331581,813.15625,15659.94140625
1756559953.339296,813.15625,15659.94140625
1756559957.3495882,813.1640625,15659.94140625
1756559961.3602931,813.1640625,15659.94140625
1756559965.3665478,810.29296875,15659.94140625
1756559969.3750641,810.3125,15659.94140625
1756559973.383647,810.3125,15659.94140625
1756559977.4051068,812.22265625,15659.94140625
1756559981.4139957,812.22265625,15659.94140625
1756559985.420876,812.27734375,15659.94140625
1756559989.4320982,812.27734375,15659.94140625
1756559993.4395053,812.27734375,15659.94140625
1756559997.446626,812.27734375,15659.94140625
1756560001.4587078,812.27734375,15659.94140625
1756560005.466628,812.28125,15659.94140625
1756560009.4774501,812.28125,15659.94140625
1756560013.4869804,845.546875,15659.94140625
1756560017.5477073,884.7578125,15659.94140625
1756560021.5699005,877.50390625,15659.94140625
1756560025.5855107,870.578125,15659.94140625
1756560029.6081076,847.7734375,15659.94140625
1756560033.6395857,848.30078125,15659.94140625
1756560037.656009,842.03515625,15659.94140625
1756560041.6816356,835.75,15659.94140625
1756560045.6979966,817.3125,15659.94140625
1756560049.7156796,817.3125,15659.94140625
1756560053.725527,817.3203125,15659.94140625
1756560057.739695,817.3203125,15659.94140625
1756560061.7469406,817.3203125,15659.94140625
1756560065.7574978,817.3203125,15659.94140625
1756560069.7670057,817.3203125,15659.94140625
1756560073.7786257,796.390625,15659.94140625
1756560077.7886066,784.28515625,15659.94140625
1756560081.7989404,784.28515625,15659.94140625
1756560085.8094163,784.29296875,15659.94140625
1756560089.8207998,784.29296875,15659.94140625
1756560093.830429,778.44921875,15659.94140625
1756560097.8435295,778.453125,15659.94140625
1756560101.8538425,778.453125,15659.94140625
1756560105.8639882,778.453125,15659.94140625
1756560109.8726563,778.453125,15659.94140625
1756560113.887777,778.45703125,15659.94140625
1756560117.933558,775.60546875,15659.94140625
1756560121.9191554,775.60546875,15659.94140625
1756560125.9306133,775.60546875,15659.94140625
1756560129.9381003,775.60546875,15659.94140625
1756560133.9511988,775.60546875,15659.94140625
1756560137.9615858,776.2265625,15659.94140625
1756560141.9758372,776.2265625,15659.94140625
1756560145.9860797,776.25390625,15659.94140625
1756560149.9970279,776.25390625,15659.94140625
1756560154.0061836,776.25390625,15659.94140625
1756560158.0188966,776.25390625,15659.94140625
1756560162.027061,776.25390625,15659.94140625
1756560166.0385175,776.26171875,15659.94140625
1756560170.0464122,776.26171875,15659.94140625
1756560174.0546753,790.29296875,15659.94140625
1756560178.0647206,790.296875,15659.94140625
1756560182.0798578,790.296875,15659.94140625
1756560186.136552,790.24609375,15659.94140625
1756560190.3088748,795.88671875,15659.94140625
1756560194.3402646,796.69921875,15659.94140625
1756560198.5914702,797.0625,15659.94140625
1756560202.7700362,796.67578125,15659.94140625
1756560207.1888885,796.109375,15659.94140625
1756560211.3572152,793.0703125,15659.94140625
1756560215.3572292,793.625,15659.94140625
1756560219.5410652,787.33984375,15659.94140625
1756560223.5597022,787.40625,15659.94140625
1756560227.8053894,787.41015625,15659.94140625
1756560231.8199635,787.41015625,15659.94140625
1756560236.1809108,783.28125,15659.94140625
1756560240.2947824,783.28125,15659.94140625
1756560244.4513793,783.3046875,15659.94140625
1756560248.7044554,783.3046875,15659.94140625
1756560252.7236152,783.30859375,15659.94140625
1756560256.916195,783.30859375,15659.94140625
1756560260.9797218,783.30859375,15659.94140625
1756560265.0056787,783.30859375,15659.94140625
1756560269.1772327,783.30859375,15659.94140625
1756560273.1675842,783.34375,15659.94140625
1756560277.297818,780.58984375,15659.94140625
1756560281.660937,780.58984375,15659.94140625
1756560285.6656923,780.59765625,15659.94140625
1756560289.918292,780.59765625,15659.94140625
1756560293.9446976,780.59765625,15659.94140625
1756560298.2434955,780.59765625,15659.94140625
1756560302.3959408,780.60546875,15659.94140625
1756560306.63735,780.60546875,15659.94140625
1756560310.6536496,780.60546875,15659.94140625
1756560314.9000273,780.609375,15659.94140625
1756560319.1871626,780.640625,15659.94140625
1756560323.4073668,780.640625,15659.94140625
1756560327.602128,780.640625,15659.94140625
1756560331.6164057,780.640625,15659.94140625
1756560336.0268586,780.671875,15659.94140625
1756560340.0476305,780.67578125,15659.94140625
1756560344.3004048,780.6796875,15659.94140625
1756560348.8024938,781.48828125,15659.94140625
1756560352.9904816,781.48828125,15659.94140625
1756560357.3678665,781.48828125,15659.94140625
1756560361.501456,781.48828125,15659.94140625
1756560365.8428152,784.40234375,15659.94140625
1756560369.9044669,784.41015625,15659.94140625
1756560374.5141466,784.41015625,15659.94140625
1756560378.5084229,784.41015625,15659.94140625
1756560383.1042228,784.41015625,15659.94140625
1756560387.3353715,784.421875,15659.94140625
1756560391.3476498,784.421875,15659.94140625
1756560395.42962,784.42578125,15659.94140625
1756560399.8169582,784.44140625,15659.94140625
1756560403.8253143,804.4453125,15659.94140625
1756560408.0408504,804.45703125,15659.94140625
1756560412.499027,800.66015625,15659.94140625
1756560416.8676357,800.66015625,15659.94140625
1756560420.9521291,800.66015625,15659.94140625
1756560424.967502,800.66015625,15659.94140625
1756560429.3346465,800.66015625,15659.94140625
1756560433.6791167,800.66015625,15659.94140625
1756560437.750022,792.8671875,15659.94140625
1756560441.745277,792.8671875,15659.94140625
1756560445.7566104,792.92578125,15659.94140625
1756560449.8088295,792.92578125,15659.94140625
1756560453.891969,792.92578125,15659.94140625
1756560458.052698,792.92578125,15659.94140625
